# Type | Modules affected | vulnerability title | version ini | version end | other version | vulnerability description | url reference (url1 uel2 ... url3)
Core||Multiple XSS/CSRF Vulnerability|1.5.9|1.5.9||A series of XSS and CSRF faults exist in the administrator application. Affected administrator components include com_admin, com_media, com_search. Both com_admin and com_search contain XSS vulnerabilities, and com_media contains 2 CSRF vulnerabilities.|
Component|com_uploader|'com_uploader' Component Arbitrary File Upload Vulnerability|x.x.x|x.x.x|com_uploader|The 'com_uploader' component for Joomla! is prone to a vulnerability that lets attackers upload arbitrary files because the application fails to adequately sanitize user-supplied input.An attacker can exploit this vulnerability to upload arbitrary code and run it in the context of the webserver process. This may facilitate unauthorized access or privilege escalation; other attacks are also possible.|http://www.securityfocus.com/bid/37840/
Component|com_marketplace|'com_marketplace' Component 'catid' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|Joomla com_marketplace 1.2|The Joomla! 'com_marketplace' component is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37819/
Component|com_tienda|'com_tienda' Component 'categoria' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|com_tienda|The Joomla! 'com_artistavenue' component is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37798/
Component|com_articlemanager|'com_articlemanager' Component 'artid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_articlemanager|The 'com_articlemanager' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37799/
Component|com_jashowcase|'com_jashowcase' Component Directory Traversal Vulnerability|x.x.x|x.x.x|com_jashowcase|The 'com_jashowcase' component for Joomla! is prone to a directory-traversal vulnerability because it fails to sufficiently sanitize user-supplied input data.Exploiting the issue may allow an attacker to obtain sensitive information that could aid in further attacks.|http://www.securityfocus.com/bid/37692/
Component|com_jcollection|'com_jcollection' Component Directory Traversal Vulnerability|x.x.x|x.x.x|com_jcollection|The 'com_jcollection' component for Joomla! is prone to a directory-traversal vulnerability because it fails to sufficiently sanitize user-supplied input data.Exploiting the issue may allow an attacker to obtain sensitive information that could aid in further attacks.|http://www.securityfocus.com/bid/37691/
Component|com_dashboard|'com_dashboard' Component Directory Traversal Vulnerability|x.x.x|x.x.x|com_dashboard|The 'com_dashboard' component for Joomla! is prone to a directory-traversal vulnerability because it fails to sufficiently sanitize user-supplied input data.Exploiting the issue may allow an attacker to obtain sensitive information that could aid in further attacks.|http://www.securityfocus.com/bid/37689/
Component|com_jvideodirect|'com_jvideodirect' Component Directory Traversal Vulnerability|x.x.x|x.x.x|com_jvideodirect|The 'com_jvideodirect' component for Joomla! is prone to a directory-traversal vulnerability because it fails to sufficiently sanitize user-supplied input data.Exploiting the issue may allow an attacker to obtain sensitive information that could aid in further attacks.|http://www.securityfocus.com/bid/37694/
Component|com_ksadvertiser|KISS Software Advertiser Component for Joomla! 'pid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|KISS Software Advertiser 1.5.2 RC2|The KISS Software Advertiser component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37682/
Component|com_livechat|Live Chat Joomla! Component 'last' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joompolitan Live Chat|The Live Chat component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37681/
Component|com_jobads|Jobads 'type' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla Jobads|The Jobads component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37686/
Component|com_dm_orders|DM Orders Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla DM Orders|he DM Orders component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37655/
Component|com_dms|Document Seller for Docman 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Ossolution Team Document Seller for Docman 2.1|The Document Seller for Docman component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37660/
Component|com_kk|'com_kk' Joomla! Component 'kat' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_kk|The 'com_kk' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37645/
Component|com_perchagallery|'com_perchagallery' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_perchagallery|The 'com_perchagallery' component for Joomla is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37642/
Component|com_jembed|jEmbed Component 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla jEmbed|The jEmbed component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37627/
Component|com_bfsurvey_pro|BF Survey Pro 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Tamlyn Creative BF Survey Pro|The BF Survey Pro component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/37584/
Component|com_j-projects|J-Projects Component 'project' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla J-ProjectsThe J-Projects component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.|The J-Projects component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37608/
Component|com_doqment|'com_doqment' Joomla! Component 'cid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|RSJoomla! com_doqment|The 'com_doqment' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37606/
Component|com_cartikads|'com_cartikads' Component Arbitrary File Upload Vulnerability|x.x.x|x.x.x|Cartika Hosting com_cartikads 2.0|The 'com_cartikads' component for Joomla! is prone to a vulnerability that lets attackers upload arbitrary files because the application fails to adequately sanitize user-supplied input.An attacker can exploit this vulnerability to upload arbitrary code and run it in the context of the webserver process. This may facilitate unauthorized access or privilege escalation; other attacks are also possible.|http://www.securityfocus.com/bid/37604/
Component|com_smf|Shape5 Bridge of Hope Template for Joomla! 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Shape5 Bridge of Hope Template|The Shape5 Bridge of Hope template for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37602/
Component|com_dailymeals|Dailymeals Joomla! Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Alexander Schell Dailymeals|The Dailymeals component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/37596/
Component|index.php?option=com_content&view=article&id=|joomlabamboo JB Simpla Joomla! Template 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|joomlabamboo JB Simpla|JB Simpla template for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.UPDATE (February 3, 2010): The vendor indicates that this issue is not exploitable as described.|http://www.securityfocus.com/bid/37579/
Component|com_avosbillets|'com_avosbillets' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_avosbillets|The 'com_avosbillets' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37576/
Component|com_cartweberp|CARTwebERP Joomla! Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Joomla CARTwebERP|The CARTwebERP component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/37581/
Component|com_tpjobs|'com_tpjobs' Component 'id_c[]' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_tpjobs|The 'com_tpjobs' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37591/
Component|com_alfresco|http://www.securityfocus.com/bid/37591/|x.x.x|x.x.x|Alfresco Software Joomla! Module for Alfresco 1.0|Joomla! Module for Alfresco is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37578/
Component|com_otzivi|'com_otzivi' Component 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_otzivi|The 'com_otzivi' component for Joomla is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37595/
Component|com_bfsurvey_pro|BF Survey Pro 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Tamlyn Creative BF Survey Pro|Joomla! BF Survey Pro component is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37585/
Component|com_bfsurvey|'com_bfsurvey' Joomla! Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_bfsurvey|The 'com_bfsurvey' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/37572/
Component|com_aprice|'com_aprice' Component 'analog' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_aprice|The 'com_aprice' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37575/
Component|com_biblestudy|Bible Study Joomla! Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|Tom Fuller Bible Study 6.1|The Bible Study component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/37583/
Component|rd_download.php|Run Digital Download Component for Joomla! Unspecified Unauthorized Access Vulnerability|x.x.x|x.x.x|run digital Download 0.5|The Run Digital Download component for Joomla! is prone to an unspecified unauthorized-access vulnerability.Exploiting this issue could allow attackers to gain unauthorized access to the affected application.|http://www.securityfocus.com/bid/37548/
Component|com_rd_download|'com_rd_download' Component Directory Traversal Vulnerability|x.x.x|x.x.x|com_rd_download|The 'com_rd_download' component for Joomla! is prone to a directory-traversal vulnerability because it fails to sufficiently sanitize user-supplied input data.Exploiting the issue may allow an attacker to obtain sensitive information that could aid in further attacks.|http://www.securityfocus.com/bid/37538/
Component|com_airmonoblock|'com_airmonoblock' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_airmonoblock|The 'com_airmonoblock' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37542/
Component|com_artistavenue|'com_artistavenue' Component 'Itemid' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|com_artistavenue|The Joomla! 'com_artistavenue' component is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37537/
Component|com_noticia|'com_noticia' Component 'Itemid' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|com_noticia|The Joomla! 'com_noticia' component is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37526/
Component|com_qpersonel|Q-Personel Component 'personel_sira' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|Q-Proje Q-Personel 1.0.2(RC2)|The Q-Personel component for Joomla! is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may allow the attacker to steal cookie-based authentication credentials and to launch other attacks.Q-Personel 1.0.2(RC2) is vulnerable; other versions may be affected as well.|http://www.securityfocus.com/bid/37503/
Component|com_kkcontent|'com_kkcontent' Component 'catID' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_kkcontent|The 'com_kkcontent' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37527/
Component|com_beeheard|BeeHeard Component 'category_id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|BeeHeard|The BeeHeard component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37495/
Component|com_calendario|'com_calendario' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_calendario|The 'com_calendario' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37493/
Component|com_webcamxp|'com_webcamxp' Component 'Itemid' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|Andy Stewart com_webcamxp|The Joomla! 'com_webcamxp' component is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37480/
Component|modules/mod_joomulus/tagcloud.swf|Joomulus Component 'tagcloud.swf' Cross-Site Scripting Vulnerability|x.x.x|x.x.x|Joomla Bear Joomulus 2.0|The Joomulus component for Joomla! is prone to a cross-site scripting vulnerability because the application fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37479/
Component|com_jm-recommend|'com_jm-recommend' Component 'Itemid' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|imedevnet com_jm-recommend|The Joomla! 'com_jm-recommend' component is prone to a cross-site scripting vulnerability because the application fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37478/
Component|com_facileforms|'com_facileforms' Component 'Itemid' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|Limedevnet com_facileforms|The Joomla! 'com_facileforms' component is prone to a cross-site scripting vulnerability because the application fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37477/
Component|com_trabalhe_conosco|'com_trabalhe_conosco' Component 'Itemid' Parameter Cross-Site Scripting Vulnerability|x.x.x|x.x.x|Limedevnet com_trabalhe_conosco|The Joomla! 'com_trabalhe_conosco' component is prone to a cross-site scripting vulnerability because the application fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37476/
Component|com_kif_nexus|iF Portfolio Nexus 'controller' Parameter Remote File Include Vulnerability|x.x.x|x.x.x|inertialFATE iF Portfolio Nexus|The iF Portfolio Nexus ('com_if_nexus') component for Joomla! is prone to a remote file-include vulnerability because it fails to sufficiently sanitize user-supplied input.Exploiting this issue may allow an attacker to compromise the application and the underlying system; other attacks are also possible.|http://www.securityfocus.com/bid/37473/
Component|com_dhforum|'com_dhforum' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|'com_dhforum' Component 'id' Parameter SQL Injection Vulnerability|The 'com_dhforum' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37475/
Component|com_memory|Memory Book Component for Joomla! SQL Injection and Arbitrary File Upload Vulnerabilities|x.x.x|x.x.x|Agile Technologies Memory Book 1.2|The Memory Book component for Joomla! is prone to an SQL-injection vulnerability and an arbitrary-file-upload vulnerability.Exploiting these issues could allow an attacker to compromise the application, upload arbitrary files, execute arbitrary code, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37496/
Component|com_adagency|'com_adagency' Joomla! Component 'controller' Parameter Local File Include Vulnerability|x.x.x|x.x.x|com_adagency|The 'com_adagency' component for Joomla! is prone to a local file-include vulnerability because it fails to properly sanitize user-supplied input.An attacker can exploit this vulnerability to obtain potentially sensitive information and execute arbitrary local scripts in the context of the webserver process. This may allow the attacker to compromise the application and the computer; other attacks are also possible.|http://www.securityfocus.com/bid/37499/
Component|com_schools|'com_schools' Component 'schoolid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_schools|The 'com_schools' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37469/
Component|com_carman|Webformatique Car Manager Joomla! Component 'msg' Parameter Cross Site Scripting Vulnerability|x.x.x|x.x.x|webformatique Car Manager <= 2.1|The Webformatique Car Manager component for Joomla! is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may allow the attacker to steal cookie-based authentication credentials and to launch other attacks.|http://www.securityfocus.com/bid/37458/
Component|index.php?view=longview&catid=|JEEMA Article Collection Component 'catid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|JEEMA Web Solutions JEEMA Article Collection|The JEEMA Article Collection component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37449/
Component|com_digistore|DigiStore Component Multiple SQL Injection Vulnerabilities|x.x.x|x.x.x|Joomla DigiStore|The DigiStore component for Joomla! is prone to multiple SQL-injection vulnerabilities because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting these issues could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37433/
Component|components/com_jcalpro/cal_popup.php|JCal Pro Component 'mosConfig_absolute_path' Parameter Remote File Include Vulnerability|x.x.x|x.x.x|Anything Digital Development JCal Pro 1.5.3.6|The JCal Pro component for Joomla! is prone to a remote file-include vulnerability because it fails to sufficiently sanitize user-supplied input.Exploiting this issue may allow an attacker to compromise the application and the underlying system; other attacks are also possible.|http://www.securityfocus.com/bid/37438/
Component|com_hotbrackets|HotBrackets Tournament Brackets Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|Joomla HotBrackets Tournament Brackets|The HotBrackets Tournament Brackets component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37439/
Component|com_mediaslide|'com_mediaslide' Component Directory Traversal Vulnerability|x.x.x|x.x.x|com_mediaslide|The 'com_mediaslide' component for Joomla! is prone to a directory-traversal vulnerability because it fails to sufficiently sanitize user-supplied input data.Exploiting the issue may allow an attacker to obtain sensitive information that could aid in further attacks.|http://www.securityfocus.com/bid/37440/
Component|com_eventmanager|Event Manager Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|JForJoomla Event Manager 1.5|The Event Manager component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37426/
Component|com_jbook|'com_jbook' Component 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_jbook|The 'com_jbook' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38199/
Component|com_personel|'com_personel' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_personel|The 'com_personel' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37404/
Component|com_joomportfolio|'com_joomportfolio' Component 'secid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_joomportfolio|The 'com_joomportfolio' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37403/
Component|com_acmisc|'com_acmisc' Component 'Itemid' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_acmisc|The 'com_acmisc' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/38210/
Component|com_jphoto|'com_jphoto' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_jphoto|The 'com_jphoto' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37279/
Component|com_mamboleto/mamboleto.php|Mamboleto Component 'mamboleto.php' Remote File Include Vulnerability|x.x.x|x.x.x|Fernando Soares Mamboleto 2.0 RC3|The Mamboleto component for Joomla! is prone to a remote file-include vulnerability because it fails to sufficiently sanitize user-supplied input.Exploiting this issue may allow an attacker to compromise the application and the underlying system; other attacks are also possible.|http://www.securityfocus.com/bid/37280/
Component|com_jsjobs|JS Jobs Component Multiple SQL Injection Vulnerabilities|x.x.x|x.x.x|Joomla JS Jobs 1.0.5 .6|The JS Jobs component for Joomla! is prone to multiple SQL-injection vulnerabilities because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting these issues could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37281/
Component|com_job|'com_job' Component 'id' Parameter SQL Injection Vulnerability|x.x.x|x.x.x|com_job|The 'com_job' component for Joomla! is prone to an SQL-injection vulnerability because it fails to sufficiently sanitize user-supplied data before using it in an SQL query.Exploiting this issue could allow an attacker to compromise the application, access or modify data, or exploit latent vulnerabilities in the underlying database.|http://www.securityfocus.com/bid/37254/
Component|yt_color|YOOtheme Warp5 Joomla! Component 'yt_color' Parameter Cross Site Scripting Vulnerability|x.x.x|x.x.x|YOOtheme Warp5|The Warp5 component for Joomla! is prone to a cross-site scripting vulnerability because it fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may allow the attacker to steal cookie-based authentication credentials and to launch other attacks.|http://www.securityfocus.com/bid/37239/
Component|created_by_alias=|You!Hostit! Template Cross-Site Scripting Vulnerability|x.x.x|x.x.x|Youjoomla You!Hostit! 1.0.1|The Joomla! You!Hostit! template is prone to a cross-site scripting vulnerability because the application fails to properly sanitize user-supplied input.An attacker may leverage this issue to execute arbitrary script code in the browser of an unsuspecting user in the context of the affected site. This may help the attacker steal cookie-based authentication credentials and launch other attacks.|http://www.securityfocus.com/bid/37260/
